COURSE CODE,COURSE TITLE,2020 EOS,2020 EOS RANDOM,2020 MID,2020 R1 POINTS,2020 R1 RANDOM,2020 R2 POINTS,2020 R2 RANDOM,LEVEL
CK307,Law and Business,556,,589,556,,,,8
CK401,Computer Science,468,,509,468,,,,8
CK402,Biological and Chemical Sciences,509,,532,510,*,509,*,8
CK404,"Biological, Earth and Environmental Sciences",465,,498,467,,,,8
CK405,Genetics,487,,498,487,,,,8
CK406,Chemical Sciences,462,,494,485,,472,,8
CK407,Mathematical Sciences,565,,601,566,,565,*,8
CK408,Physics and Astrophysics,531,*,589,554,,542,,8
CK409,Industrial Physics - Offered jointly by UCC and CIT,432,,499,432,,,,8
CK411,Data Science and Analytics,509,,554,510,,,,8
CK412,Agricultural Science,489,*,510,496,*,496,*,8
CK504,Nutritional Sciences,517,*,554,518,,,,8
CK505,Food Science,420,,465,441,,440,*,8
CK600,Engineering,487,,532,487,,,,8
CK606,Architecture - Offered jointly by UCC and CIT,469,,510,484,,476,,8
CK701,Medicine (Undergraduate Entry - HPAT required),731,,739,731,,,,8
CK702,Dentistry,613,*,613,613,*,613,*,8
CK703,Pharmacy,589,*,602,590,,589,*,8
CK704,Occupational Therapy,555,*,577,566,,555,*,8
CK705,Speech and Language Therapy,520,,541,520,,,,8
CK706,Public Health Sciences,454,,477,454,,,,8
CK707,Medical and Health Sciences,541,,555,542,,541,,8
CK710,General Nursing,454,*,477,454,*,,,8
CK712,Children`s and General Nursing (Integrated),533,,553,533,,,,8
CK720,Mental Health Nursing,419,,440,423,,,,8
CK730,Intellectual Disability Nursing,400,,433,419,,411,,8
CK740,Midwifery,473,*,507,484,,,,8
CK791,Medicine  - Graduate Entry (GAMSAT required),57,*,58,57,*,,,8
CM001,Education - Primary Teaching,484,*,487,484,*,,,8
CM002,Education - Primary Teaching - Gaeltacht Applicants,,,,,,,,8
CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,528,,570,528,,,,8
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,494,,513,494,,,,8
CM010,Education Studies,317,,407,319,,,,8
CM020,Early Childhood Education,327,,390,327,,,,8
CR001,Applied Physics and Instrumentation,250,,487,250,,,,6/7
CR006,Applied Biosciences,361,,489,361,,,,6/7
CR007,Analytical and Pharmaceutical Chemistry,240,,487,240,,,,6/7
CR010,Agriculture (Year 1 - 2 days in Clonakilty Agri College & 3 days in CIT),321,,422,321,,,,6/7
CR016,Software Development,307,,413,307,,,,6/7
CR021,Business (Common Entry),255,,433,255,,,,6/7
CR022,Business Administration,190,,336,190,,,,6/7
CR031,Social Care Work,346,,411,346,,,,6/7
CR032,Recreation and Leisure Management,298,,378,298,,,,6/7
CR035,Community Development,100,,251,100,,,,6/7
CR041,Tourism Management,216,,399,216,,,,6/7
CR042,Hospitality Management,208,,316,208,,,,6/7
CR046,Automotive Technology and Management,216,,337,216,,,,6/7
CR051,Civil Engineering,248,,451,248,,,,6/7
CR052,Construction,251,,367,251,,,,6/7
CR053,Interior Architecture,308,,434,308,,,,6/7
CR055,Environmental Engineering,258,,409,258,,,,6/7
CR061,Electronic Engineering,260,,444,260,,,,6/7
CR062,Electrical Engineering,300,,401,300,,,,6/7
CR071,Mechanical Engineering,261,,444,261,,,,6/7
CR075,Biomedical Engineering,306,,498,306,,,,6/7
CR090,Architectural Technology,266,,411,266,,,,6/7
CR094,Nautical Science at National Maritime College of Ireland,243,,380,243,,,,6/7
CR095,Marine Engineering at National Maritime College of Ireland,255,,389,255,,,,6/7
CR105,Chemical and Biopharmaceutical Engineering,443,,532,443,,,,8
CR106,Software Development,411,,463,411,,,,8
CR108,Mechanical Engineering,434,,509,434,,,,8
CR109,Structural Engineering,394,,423,394,,,,8
CR110,Automotive Business Management and Technology,311,,362,311,,,,8
CR112,Creative Digital Media,361,,430,361,,,,8
CR116,Computer Systems,332,,393,332,,,,8
CR121,Music at CIT Cork School of Music,912,,1078,868,,,,8
CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,1088,,1088,1088,,,,8
CR126,Popular Music: Drums at CIT Cork School of Music,801,,940,801,,,,8
CR127,Popular Music: Electric Guitar at CIT Cork School of Music,768,,978,838,,768,,8
CR128,Popular Music: Keyboards at CIT Cork School of Music,840,,881,840,,,,8
CR129,Popular Music: Voice at CIT Cork School of Music,841,,966,841,,,,8
CR130,Musical Theatre at CIT Cork School of Music,505,,600,548,,518,,8
CR150,Business Information Systems,335,,391,335,,,,8
CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",#+matric,,#+matric,#+matric,,,,8
CR220,Fine Art at CIT Crawford College of Art and Design,#+matric,,#+matric,#+matric,,,,8
CR225,Photography with New Media,#+matric,,#+matric,#+matric,,,,8
CR300,Physical Sciences (Common Entry),282,,476,282,,,,6/7
CR305,Physical Sciences (Common Entry),282,,356,282,,,,8
CR310,IT Management,297,,339,297,,,,8
CR320,Biomedical Science - Offered jointly by CIT and UCC,565,,577,565,,,,8
CR325,Pharmaceutical Biotechnology,398,,440,398,,,,8
CR333,Nutrition and Health Science,402,,433,402,,,,8
CR335,Biological Sciences (Common Entry),420,,451,420,,,,8
CR340,Analytical Chemistry with Quality Assurance,251,,366,251,,,,8
CR360,Instrument Engineering,261,,388,261,,,,8
CR365,Environmental Science and Sustainable Technology,253,,341,253,,,,8
CR370,Agri-Biosciences,397,,453,397,,,,8
CR400,Accounting,316,,413,316,,,,8
CR420,Marketing,285,,346,285,,,,8
CR425,International Business with Language,298,,412,298,,,,8
CR430,Sport and Exercise Management,322,,407,322,,,,8
CR440,Montessori Education,288,,362,288,,,,8
CR500,Engineering (Common Entry),411,,465,411,,,,8
CR510,Sustainable Energy Engineering,320,,389,320,,,,8
CR520,Biomedical Engineering,444,,488,444,,,,8
CR560,Architectural Technology,308,,377,308,,,,8
CR565,Interior Architecture,359,,423,359,,,,8
