,COURSE CODE,COURSE TITLE,2020 EOS,2020 EOS RANDOM,2020 MID,2020 R1 POINTS,2020 R1 RANDOM,2020 R2 POINTS,2020 R2 RANDOM,LEVEL
334,DC001,Education - Early Childhood Education,440,,462,440,,,,8
335,DC002,Education - Primary Teaching,488,,520,488,,,,8
336,DC003,Education - Primary Teaching - Gaeltacht Applicants,445,,462,445,,,,8
337,DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),409,,463,411,,409,,8
338,DC009,Arts (Joint Honours) - Humanities,376,,423,376,,,,8
339,DC010,Post Primary Teacher Education - Religious Education and English,429,,465,441,,429,,8
340,DC011,Post Primary Teacher Education - Religious Education and History,391,,429,412,,391,,8
341,DC012,Post Primary Teacher Education - Religious Education and Music,378,,420,378,,,,8
342,DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,419,,487,419,,,,8
343,DC014,BA in Jazz and Contemporary Music Performance (audition),419,,605,419,,,,8
344,DC110,Business Studies International,465,,488,465,,,,8
345,DC111,Business Studies,488,,507,488,,,,8
346,DC112,Global Business (France),510,,532,517,,510,,8
347,DC113,Global Business (Germany),462,,496,462,,,,8
348,DC114,Global Business (Spain),522,,545,522,,,,8
349,DC115,Accounting and Finance,510,,544,510,,,,8
350,DC116,Global Business (USA),579,,601,579,,,,8
351,DC117,Aviation Management / Aviation Management with Pilot Studies,475,,500,476,,475,,8
352,DC118,Gnó agus Gaeilge / Business and Irish,359,,429,359,,,,8
353,DC119,Global Business (Canada),564,,577,564,,,,8
354,DC120,Enterprise Computing,357,,392,357,,,,8
355,DC121,Computer Applications,400,,455,400,,,,8
356,DC123,Data Science,465,,531,465,,,,8
357,DC126,Actuarial Mathematics,560,,578,560,,,,8
358,DC127,Common Entry into Actuarial and Financial Mathematics,520,,543,532,,520,,8
359,DC131,Communication Studies,402,,451,407,,402,,8
360,DC132,Journalism,422,,466,429,,422,,8
361,DC133,Multimedia,410,,451,411,,410,,8
362,DC155,Applied Language and Translation Studies,387,,444,387,,,,8
363,DC161,Analytical Science,489,,510,498,*,489,,8
364,DC162,Chemical and Pharmaceutical Sciences,521,,544,521,,,,8
365,DC166,Environmental Science and Technology,399,,441,433,,399,,8
366,DC168,Genetics and Cell Biology,510,,529,512,*,510,,8
367,DC175,Physics General Entry (options),402,,467,419,,402,,8
368,DC181,Biotechnology,495,,511,499,,495,,8
369,DC190,Electronic and Computer Engineering (with choice of four majors),413,,465,413,,,,8
370,DC193,Mechatronic Engineering,411,,487,411,,,,8
371,DC195,Mechanical and Manufacturing Engineering,425,,487,425,,,,8
372,DC197,Biomedical Engineering,423,,477,423,,,,8
373,DC200,Common Entry into Engineering (Undenominated Entry),422,,487,422,,,,8
374,DC201,Common Entry into Science (Undenominated Entry),488,,499,498,*,488,,8
375,DC202,Sport Science and Health,498,*,521,500,,498,*,8
376,DC203,Science Education,435,,487,435,,,,8
377,DC204,Athletic Therapy and Training,519,,533,522,,519,,8
378,DC205,Physical Education with Biology,531,,553,531,,,,8
379,DC206,Physical Education with Mathematics,499,,520,499,,,,8
380,DC208,Psychology,521,,533,532,,521,,8
381,DC209,Health and Society,440,,466,465,,440,,8
382,DC215,General Nursing,433,,462,454,,433,,8
383,DC216,Mental Health Nursing,403,,424,418,,403,,8
384,DC217,Intellectual Disability Nursing,370,,390,370,,,,8
385,DC218,Children`s and General Nursing (Integrated),498,,522,500,,498,,8
386,DC230,"Economics, Politics and Law",435,,462,435,,,,8
387,DC231,International Relations,397,,433,397,,,,8
388,DC232,Law and Society (BCL),466,,496,466,,,,8
389,DC235,Education and Training - Daytime and Flexible Delivery Mode (full-time),309,,357,309,,,,8
390,DC238,Social Sciences and Cultural Innovation,377,,411,377,,,,8
391,DC239,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",430,,473,430,,,,8
392,DC240,"Marketing, Innovation and Technology",474,,498,476,,474,,8
393,DC291,Arts (Joint Honours) - Media Studies,376,,409,376,,,,8
394,DC292,Arts (Joint Honours) - Law,403,,430,403,,,,8
395,DC293,Arts (Joint Honours) - International Languages,377,,466,377,,,,8
396,DC295,Arts (Joint Honours) - Politics,376,,409,376,,,,8
397,DK710,Business and Management,120,,352,120,,120,,7
398,DK711,Business and Technology,191,,327,191,,,,7
399,DK712,Digital Marketing and Public Relations,100,,349,100,,100,,7
400,DK721,Computing,106,,326,106,,106,,7
401,DK722,Augmented and Virtual Reality,144,,348,144,,144,,7
402,DK730,Building Surveying,165,,330,165,,,,7
403,DK731,Architectural Technology,332,,392,332,,,,7
404,DK732,Construction Management,120,,321,120,,,,7
405,DK740,Engineering - Electrical and Electronic Systems,179,,339,179,,179,,7
406,DK742,Engineering - Mechanical Engineering,166,,312,166,,166,,7
407,DK744,Engineering - Civil Engineering,157,,341,190,,157,,7
408,DK750,Hospitality Management,176,,279,176,,176,,7
409,DK752,Event Management,175,,347,175,,175,,7
410,DK753,Culinary Arts,182,,387,182,,182,,7
411,DK763,"Sport, Exercise and Enterprise",225,,329,233,,,,7
412,DK767,Community Youth Work (interview),240,,330,240,,240,,7
413,DK768,Audio and Music Production,261,,361,261,,,,7
414,DK769,Creative Media,165,,318,165,,165,,7
415,DK770,Theatre & Film Practice,190,,388,190,,190,,7
416,DK771,Musical Theatre (audition),,,,,,,,7
417,DK781,Science - Bioscience,208,,381,358,,328,,7
418,DK783,Science - Pharmaceutical Science,210,,362,349,,317,,7
419,DK784,Veterinary Nursing,399,,445,399,,,,7
420,DK810,Accounting and Finance,305,,401,305,,305,,8
421,DK816,Business Studies,300,,367,300,,300,,8
422,DK820,Computing in Games Development,311,,348,311,,311,,8
423,DK821,Computing in Software Development,302,,361,302,,302,,8
424,DK822,Augmented and Virtual Reality,304,,380,307,,,,8
425,DK830,Building Surveying,336,,352,336,,,,8
426,DK831,Architectural Technology,389,,433,389,,,,8
427,DK832,Construction Management,387,,419,387,,,,8
428,DK843,Engineering (Common Entry),340,,439,340,,340,,8
429,DK844,Mechanical Engineering,305,,448,305,,305,,8
430,DK845,Electrical & Electronic Engineering,304,,392,304,,304,,8
431,DK846,Civil Engineering,361,,392,391,,361,,8
432,DK850,International Tourism Management,317,,377,317,,317,,8
433,DK860,Music (audition),503,,634,532,,532,,8
434,DK861,Arts,302,,363,302,,302,,8
435,DK862,Social Care,301,,347,301,,,,8
436,DK863,Creative Media,308,,337,308,,308,,8
437,DK864,Film and Television Production,300,,402,300,,300,,8
438,DK865,Audio and Music Production,301,,367,301,,,,8
439,DK870,General Nursing,397,*,419,403,,401,,8
440,DK872,Intellectual Disability Nursing,336,,358,336,,,,8
441,DK874,Mental Health Nursing,356,,379,356,,,,8
442,DK876,Early Childhood Studies,321,,388,321,,,,8
